Player,APPS,MINS,GOALS,XG,GOALS VS XG,SHOTS,SOT,CONV %,XG PER SHOT
Yasin Ayari,12,962,1,1.01,-0.01,20,6,5.00%,0.05
Chemsdine Talbi,12,616,1,1.01,-0.01,9,2,11.11%,0.11
John McGinn,12,913,1,1,0,12,3,8.33%,0.08
Dan Ballard,10,670,2,1,1,12,5,16.67%,0.08
Matthijs de Ligt,11,990,1,0.99,0.01,7,2,14.29%,0.14
Milos Kerkez,11,766,1,0.97,0.03,4,1,25.00%,0.24
Brennan Johnson,12,481,2,0.96,1.04,5,2,40.00%,0.19
Michael Keane,11,965,2,0.95,1.05,9,3,22.22%,0.11
Lesley Ugochukwu,11,665,2,0.94,1.06,10,3,20.00%,0.09
Morgan Rogers,12,1068,3,0.93,2.07,15,8,20.00%,0.06
Crysencio Summerville,9,645,0,0.91,-0.91,12,2,0.00%,0.08
James Garner,11,990,1,0.91,0.09,20,5,5.00%,0.05
Josh King,12,732,0,0.9,-0.9,14,5,0.00%,0.06
Pascal Struijk,10,818,0,0.87,-0.87,9,2,0.00%,0.1
Neco Williams,12,1080,1,0.87,0.13,11,4,9.09%,0.08
Marc Guéhi,11,990,1,0.86,0.14,8,2,12.50%,0.11
Malo Gusto,10,576,1,0.83,0.17,5,2,20.00%,0.17
Ryan Sessegnon,11,929,2,0.82,1.18,6,3,33.33%,0.14
Gabriel Magalhães,11,990,1,0.81,0.19,8,1,12.50%,0.1
Santiago Bueno,8,664,1,0.8,0.2,2,2,50.00%,0.4
Trevoh Chalobah,11,932,2,0.8,1.2,10,4,20.00%,0.08
Jarrod Bowen,12,1080,3,1.57,1.43,28,12,10.71%,0.06
Ladislav Krejcí,9,795,1,1.56,-0.56,8,5,12.50%,0.19
Micky van de Ven,12,1070,3,1.55,1.45,7,3,42.86%,0.22
Tijjani Reijnders,11,774,1,1.53,-0.53,21,6,4.76%,0.07
Yéremy Pino,10,616,1,1.51,-0.51,14,4,7.14%,0.11
Marshall Munetsi,12,868,1,1.51,-0.51,13,5,7.69%,0.12
Sepp van den Berg,12,1080,0,1.5,-1.5,8,4,0.00%,0.19
Mohammed Kudus,11,956,1,1.49,-0.49,17,6,5.88%,0.09
Harry Wilson,11,748,2,1.49,0.51,23,5,8.70%,0.06
Dominik Szoboszlai,12,1080,1,1.42,-0.42,23,8,4.35%,0.06
Anthony Gordon,7,463,0,1.39,-1.39,14,5,0.00%,0.1
Daniel Muñoz,12,1079,2,1.38,0.62,14,7,14.29%,0.1
David Brooks,11,616,0,1.37,-1.37,19,4,0.00%,0.07
